,train,valid
clients,1938.0,957.0
streams_per_client,3.3575851393188856,3.1891327063740857
live_per_client,1.631578947368421,1.4043887147335423
share_clients_live,0.869453044375645,0.812957157784744
live_fam_desc_share_mean,0.6928203999993066,0.464686802416073
live_fam_desc_share_lt_0_67,0.4484503478810879,0.8504464285714286
live_amount_cv_median,0.009308577727448766,0.00900587046050385
live_amount_cv_gt_0_02,0.21062618595825428,0.11979166666666667
live_refund_rate_mean,0.1091455682144528,0.10951048799677723
live_n_payments_median,8.0,8.0
client_min_amount_cv_median,0.008449830611300451,0.008267976192950128
client_max_fam_desc_share_mean,0.8032229027320441,0.5477350667954676
filler_top_description,0.013062855386506839,0.16743119266055045
short_streams_per_client,1.1434468524251806,1.4806687565308254
