feature,auc_with_none,gain,auc_alone
min_amount_cv,0.7515576416181321,0.057175016178164895,0.6933261123474912
min_gap_recent_minus_all,0.7503521710308254,0.055969545590858205,0.6781867039159051
max_gap_trend,0.7458844326593747,0.05150180721940745,0.6425138500875989
max_gap_recent_minus_all,0.7414009107123127,0.04701828527234553,0.6526360544217686
stream_first_days,0.7399221869722367,0.04553956153226946,0.5947774121249427
min_gap_trend,0.738092278674811,0.04370965323484377,0.650053466862383
max_n_payments,0.737887092191865,0.043504466751897786,0.6575763135880801
prim_gap_recent_minus_all,0.736903578136591,0.042520952696623815,0.666332252158404
prim_gap_trend,0.7342036002335969,0.03982097479362967,0.6082200861783229
max_days_since_first,0.7336097432012249,0.039227117761257646,0.6070728175260824
min_n_payments,0.7331283441450825,0.03874571870511534,0.6846638887573591
total_payments,0.7261076124185173,0.031724986978550085,0.6182022112789431
max_family_description_share,0.726052369903878,0.0316697444639108,0.6321223384945627
n_families_live,0.7259290607194153,0.031546435279448115,0.6229540540113958
prim_amount_cv,0.7212689600202029,0.026886334580235705,0.6393610808592579
min_days_since_first,0.7196846836182269,0.0253020581782597,0.6458688463784586
min_family_description_share,0.7188185599065613,0.02443593446659409,0.6421350442729297
prim_n_payments,0.7181625550452199,0.02377992960525266,0.6618408384235364
min_amt_last_up,0.7179780845052638,0.023595459065296587,0.6141566835550926
max_missed_rate,0.7170261376012121,0.02264351216124494,0.6007327524977508
min_amt_trend,0.7157496409236548,0.02136701548368758,0.6169858894834035
n_live,0.7154477800400902,0.021065154600123037,0.6079626166011649
max_n_refunds,0.715125203213536,0.020742577773568804,0.6474837034581813
prim_family_description_share,0.7127182079328251,0.018335582492857938,0.6121353994033809
prim_days_since_first,0.7104611566204209,0.01607853118045366,0.6227735293653424
max_last_desc_specific,0.7104246571018198,0.016042031661852585,0.5899101519958332
min_expected_minus_actual,0.7102036870432628,0.01582106160329555,0.6088879287213725
stream_activity_ratio60,0.7101691604716132,0.015786535031645954,0.5974616064523257
min_amt_last_change,0.7099018261596982,0.015519200719731008,0.5901755133607967
stream_activity_ratio90,0.7066040453304292,0.012221419890461993,0.5869507315687297
min_last_gap_ratio,0.7054419795760531,0.011059354136085942,0.5570970847735845
max_amt_trend,0.7050898085452278,0.010707183105260643,0.6010750587938191
min_refund_last_days,0.7050493631327241,0.010666737692756945,0.6080287103240368
max_amt_last_change,0.7038212036554761,0.009438578215508864,0.6058121044241362
min_amt_last_logdev,0.7037117050996733,0.009329079659706085,0.5753902489069873
max_amount_cv,0.7025348422431618,0.008152216803194556,0.5987351437094559
max_expected_minus_actual,0.7021126315955617,0.007730006155594493,0.6052152879713371
min_amt_last3_changes,0.701748622883028,0.007365997443060768,0.6024600675537037
max_refund_rate,0.7008390943384314,0.006456468898464185,0.6260446754107677
prim_amt_last_up,0.7001495493789163,0.0057669239389490645,0.5904823066117398
prim_last_desc_specific,0.6994757879950124,0.005093162555045216,0.5714769086288808
max_amt_n_changes,0.6993534652840254,0.004970839844058217,0.5589437631200973
prim_amt_last_logdev,0.6982762362485597,0.003893610808592518,0.5787205833609546
prim_amt_last_change,0.6976458796975866,0.003263254257619419,0.6017675631737615
prim_missed_rate,0.6975492052969678,0.00316657985700064,0.560298191202235
stream_last_days,0.696684068058778,0.002301442618810823,0.5421273497798191
min_n_refunds,0.6961079675489685,0.0017253421090013266,0.5973442161087172
prim_refund_last_days,0.6957370535221049,0.0013544280821377042,0.6056582145619269
min_missed_last3,0.6942188708430007,-0.0001637545969664922,0.5229295894691983
min_days_since_last,0.6936920940069763,-0.0006905314329909151,0.5473872263522579
min_refund_rate,0.6936723645374624,-0.0007102609025048112,0.5901123790583519
min_amt_last_ratio,0.6935174882017772,-0.0008651372381900391,0.5733452893918589
min_missed_rate,0.6932432485755322,-0.0011393768644349933,0.5323839512603185
min_overdue,0.6924560427419229,-0.0019265826980443546,0.5485867780987105
max_amt_last_up,0.692386003125148,-0.0019966223148192297,0.5664488533232319
max_last_gap_late,0.6922755180958694,-0.0021071073440978028,0.5504255646574174
prim_n_refunds,0.6916362832836151,-0.002746342156352055,0.6134444497056362
max_amt_first_last,0.6915238253073852,-0.0028588001325819956,0.5792167795192323
max_last_gap_ratio,0.6914439209558533,-0.00293870448411393,0.5621843284877756
prim_expected_minus_actual,0.6912495856811401,-0.003133039758827061,0.5861793093107313
prim_amt_last_ratio,0.690910238805499,-0.0034723866344682497,0.5635328377290592
min_amt_first_last,0.690738592420727,-0.0036440330192402115,0.5944183357797875
n_ended_recent120,0.6905225547295485,-0.003860070710418717,0.5733610729674701
prim_amt_first_last,0.690197018482567,-0.004185606957400223,0.6070264532727244
max_last_dom,0.6901891266947613,-0.004193498745205915,0.5156563205328535
prim_last_gap_ratio,0.6901624919109175,-0.004220133529049708,0.548432888236501
prim_refund_rate,0.6898675363416827,-0.004515089098284464,0.6127006487049576
max_amt_last_logdev,0.6898576716069258,-0.004524953833041412,0.5752698991429519
past_churn_rate,0.6893861372855405,-0.004996488154426659,0.5519013289770665
max_refund_last_days,0.6892914358318734,-0.005091189608093849,0.5972623388102339
min_gap_mad_days,0.688975764319649,-0.005406861120318185,0.5732288855217261
prim_missed_last3,0.6887962261470714,-0.005586399292895838,0.5439986899632243
max_missed_last3,0.6878275091939328,-0.0065551162460344425,0.5472372823839512
n_families_all,0.6878156715122244,-0.006566953927742758,0.5652522609972064
prim_amt_trend,0.6870935729280111,-0.007289052511956107,0.5690847104503054
prim_gap_mad_days,0.6866388086557129,-0.007743816784254287,0.5612925564657417
min_last_desc_specific,0.6858644269772873,-0.008518198462679871,0.5518776536136496
live_has_gym,0.6852626781571097,-0.009119947282857477,0.5390308095395931
max_next_dom,0.6851206259766087,-0.009261999463358483,0.531260357971495
n_streams,0.6850348027842228,-0.009347822655744409,0.558927979544486
live_has_software,0.6849470066448853,-0.009435618795081924,0.5426995043957258
prim_last_gap_late,0.6842397051628075,-0.010142920277159684,0.5391846994018024
min_gap_mad_rel,0.6838086162539263,-0.0105740091860409,0.5530614217844911
max_period_days,0.6831644490742934,-0.011218176365673793,0.5629764666887637
prim_days_since_last,0.6816364016604322,-0.012746223779535049,0.5823971700048929
prim_amt_last3_changes,0.6803036759947598,-0.014078949445207378,0.5601748820177722
min_last_gap_late,0.6798617358776456,-0.01452088956232156,0.5315336111242641
max_n_missed,0.6798410199346561,-0.01454160550531114,0.5498257887841912
max_days_to_next,0.6795796044635951,-0.014803020976372094,0.5252764098678915
min_phase,0.679471092381268,-0.014911533058699189,0.5333092633805262
max_days_since_last,0.6792027715958774,-0.015179853844089819,0.576655894376312
max_median_amount,0.678840735830295,-0.015541889609672177,0.5301890477768834
max_first_dom,0.6785270372650221,-0.015855588174945145,0.5201842337863221
max_amt_last_ratio,0.6784382546522089,-0.015944370787758344,0.5392616443329071
max_last_gap_missed,0.6776293464021339,-0.016753279037833302,0.5177614549299998
min_refund_last2_full,0.677622441087804,-0.0167601843521632,0.5464757248607099
prim_n_missed,0.6770206922676263,-0.017361933172340915,0.5281894660416371
prim_last_gap_missed,0.6767148854901589,-0.017667739949808303,0.5085882380794544
max_gap_mad_days,0.6763400255693924,-0.01804259987057477,0.53216791356914
prim_gap_mad_rel,0.675783654529097,-0.01859897091087015,0.5233606783780798
min_last_dom,0.675097068990009,-0.01928555644995822,0.5474217529239074
min_n_missed,0.6748169105229099,-0.019565714917057275,0.5017756522562621
prim_last_dom,0.6739961645911264,-0.02038646084884077,0.540364521678741
live_has_music,0.6739142872926431,-0.020468338147324072,0.5222587875057215
min_period_days,0.6736844389728049,-0.02069818646716226,0.5427360039143267
max_gap_mad_rel,0.6732918225294758,-0.02109080291049137,0.517826562179396
min_first_dom,0.6721573780324195,-0.02222524740754772,0.5386342472023613
live_has_cloud,0.6717687074829932,-0.022613917956973983,0.5042043499534384
prim_amt_n_changes,0.6716306011963951,-0.022752024243572144,0.5133657291222753
min_amt_n_changes,0.6708917325630949,-0.023490892876872338,0.523541203024133
min_last_desc_diff,0.6708650977792509,-0.023517527660716353,0.5053111731931752
min_median_amount,0.670524764430134,-0.023857861009833226,0.5014343324336696
prim_overdue,0.6704162523478069,-0.02396637309216032,0.5639678725318433
min_last_gap_missed,0.6681601875088782,-0.026222437931089027,0.48443640797386234
live_has_mobile,0.6678780560948278,-0.02650456934513945,0.5084767665767003
live_has_streaming,0.6675298309579052,-0.026852794482062015,0.501162065754376
max_overdue,0.6672871584828828,-0.027095466957084424,0.5662456397872374
max_last_desc_diff,0.6669635951828528,-0.027419030257114452,0.5158299398645769
prim_refund_last2_full,0.6666775178748994,-0.027705107565067832,0.5272385056110611
max_refund_last_full,0.6660797149486244,-0.028302910491342814,0.4755255930678536
n_short,0.6658774878861058,-0.028505137553861415,0.5249124011553578
max_phase,0.6647844752750287,-0.029598150164938497,0.5524103492905282
