group,n_features,auc_none_prob_plus_group,gain_over_ranker,auc_A_plus_group,gain_over_A
hidden series (orphan filler clusters),4,0.8389427503406622,0.14456012490069503,0.9176584013342383,0.07440574837823766
raw card activity / refunds (decoy-exposed),4,0.7864370419474828,0.09205441650751556,0.8747842911333134,0.03153163817731275
"refund near the end (full, matched)",12,0.7693601996096197,0.07497757416965245,0.8611755607115237,0.017922907755523076
partial refunds (raw refund rows),6,0.7037939112226484,0.009411285782681245,0.8604455703395048,0.017192917383504147
missed payments over life,9,0.7925031961740613,0.09812057073409408,0.8596445538772354,0.01639190092123477
last payment missed / late,12,0.7539061061392847,0.059523480699317455,0.8529411377853539,0.00968848482935325
family-description share (filler-sensitive),9,0.7585862651325032,0.06420363969253595,0.8525511519379599,0.009298498981959336
gap trend,9,0.8004594335800833,0.10607680814011611,0.8520467351673847,0.008794082211384113
streams ended before Cutoff / past churn,4,0.7221870380015888,0.027804412561621583,0.8518724581866777,0.008619805230677069
client stream age / volume,5,0.7794363685149234,0.08505374307495617,0.8516153174340116,0.00836266447801104
stream activity drop (member payments),2,0.736342932377901,0.041960306937933844,0.8478594840875252,0.0046068311315246024
amount trend / last-payment amount change,24,0.7844042489385545,0.09002162349858733,0.8446264816831605,0.0013738287271598537
overdue ratio (days_since_last/period),6,0.7274354057168111,0.033052780276843885,0.8437090613507584,0.00045640839475780126
day of month,9,0.7193131119423795,0.024930486502412252,0.8431605820982684,-9.207085773221824e-05
family of live streams,7,0.7334867628412541,0.03910413740128693,0.8420004892908439,-0.0012521636651566803
raw activity drop (decoy-safe types),3,0.6798919877309005,-0.014490637709066667,0.8400268846904577,-0.003225768265542883
