q,live_fam_desc_share,marker,live_clients,flagged,precision,recall_live_none,false_flags_family,auc_count
0.0,0.6928203999993066,hidden_n2>=1,1685,237,0.919831223628692,0.5561224489795918,19,0.7722696387139544
0.0,0.6928203999993066,hidden_max_n>=3,1685,167,0.9940119760479041,0.42346938775510207,1,0.8035477532080118
0.0,0.6928203999993066,off-stream n2>=1,1685,158,0.930379746835443,0.375,11,0.6835176065785943
0.0,0.6928203999993066,off-stream max_n>=3,1685,135,0.9925925925925926,0.34183673469387754,1,0.6904081238063671
0.0,0.6928203999993066,scattered-MCC n2>=1,1685,165,0.9212121212121213,0.3877551020408163,13,0.6891967343782059
0.0,0.6928203999993066,scattered-MCC max_n>=3,1685,119,0.9915966386554622,0.3010204081632653,1,0.690302571144467
0.33,0.4783229805164823,hidden_n2>=1,1661,424,0.5825471698113207,0.6639784946236559,177,0.7825729706282273
0.33,0.4783229805164823,hidden_max_n>=3,1661,242,0.8264462809917356,0.5376344086021505,42,0.8074620235741635
0.33,0.4783229805164823,off-stream n2>=1,1661,286,0.6398601398601399,0.49193548387096775,103,0.7106221376911335
0.33,0.4783229805164823,off-stream max_n>=3,1661,200,0.825,0.4435483870967742,35,0.7262162466528191
0.33,0.4783229805164823,scattered-MCC n2>=1,1661,207,0.8260869565217391,0.4596774193548387,36,0.717312328470015
0.33,0.4783229805164823,scattered-MCC max_n>=3,1661,146,0.9726027397260274,0.3817204301075269,4,0.7209629453523194
0.5,0.36226379564421257,hidden_n2>=1,1631,580,0.43448275862068964,0.7159090909090909,328,0.758800376714763
0.5,0.36226379564421257,hidden_max_n>=3,1631,351,0.5925925925925926,0.5909090909090909,143,0.7937497778804464
0.5,0.36226379564421257,off-stream n2>=1,1631,416,0.4831730769230769,0.5710227272727273,215,0.7093432369038312
0.5,0.36226379564421257,off-stream max_n>=3,1631,279,0.6379928315412187,0.5056818181818182,101,0.7399990670978748
0.5,0.36226379564421257,scattered-MCC n2>=1,1631,231,0.7445887445887446,0.48863636363636365,59,0.72383875897363
0.5,0.36226379564421257,scattered-MCC max_n>=3,1631,170,0.8705882352941177,0.42045454545454547,22,0.7295250195465208
