feature,auc,auc_nonmissing,strength,se,n_nonmissing,mean_none,mean_family
raw_orphan_sub_all,0.806726170746721,0.806726170746721,0.30672617074672104,0.014726996213574175,1685,3.9591836734693877,0.8128383604021655
raw_hidden_max_n,0.8035477532080118,0.8035477532080118,0.30354775320801175,0.013181087845752375,1685,2.4744897959183674,0.5583913379737045
raw_hidden_last_days,0.22108646242719826,0.19783135604031127,0.27891353757280174,0.014969349092003653,1037,62.90163964897733,165.37113404492453
raw_hidden_n2,0.7722696387139544,0.7722696387139544,0.2722696387139544,0.011723181089183141,1685,0.7857142857142857,0.014694508894044857
raw_orphan_sub_60,0.7427385687453635,0.7427385687453635,0.24273856874536348,0.012641959604566893,1685,1.2857142857142858,0.131477184841454
raw_hidden_n3,0.7113904146345313,0.7113904146345313,0.21139041463453134,0.012064609759697037,1685,0.5433673469387755,0.0007733952049497294
oof_none,0.6943826254399672,0.6943826254399672,0.1943826254399672,0.015175107257707706,1685,0.40464500866663083,0.2870722013193666
min_amount_cv,0.6805285919472197,0.6805285919472197,0.1805285919472197,0.014975338360722403,1685,0.014656095660522209,0.010911468778020541
total_payments,0.3465935097937087,0.3465935097937087,0.15340649020629132,0.016125296351434122,1685,16.790816326530614,22.130703789636506
min_amt_last_change,0.6452207333049229,0.6452207333049229,0.1452207333049229,0.01739194024379239,1685,0.01599003496881324,0.008924187586622948
stream_first_days,0.35608141168300267,0.35608141168300267,0.14391858831699733,0.017806851973707814,1685,254.17821269132654,301.5222899390593
raw_n_refunds,0.6403692567514245,0.6403692567514245,0.14036925675142453,0.014772876784280855,1685,5.073979591836735,3.7904098994586235
n_families_live,0.361283086320375,0.361283086320375,0.13871691367962502,0.013902530928844652,1685,1.4846938775510203,1.9334880123743232
max_days_since_first,0.3653226952033714,0.3653226952033714,0.1346773047966286,0.017944809120015184,1685,233.7663959750567,283.46012974957745
max_family_description_share,0.371678543807314,0.371678543807314,0.12832145619268598,0.0161929072136562,1685,0.6954721993745309,0.8358897826362552
prim_amount_cv,0.6265941411367332,0.6265941411367332,0.12659414113673317,0.016145961935019045,1685,0.017307676069162066,0.01448619104654212
prim_amt_last_change,0.6234828037943715,0.6234828037943715,0.12348280379437149,0.01582767977756846,1685,0.020900040509373104,0.013911555584063297
n_live,0.377885434916426,0.377885434916426,0.12211456508357399,0.013751733358084417,1685,1.5637755102040816,1.97138437741686
max_n_payments,0.3789478668497562,0.3789478668497562,0.12105213315024382,0.017919630225908246,1685,9.270408163265307,11.261407579273008
oof_max,0.3841465820667014,0.3841465820667014,0.11585341793329862,0.017004215160859506,1685,0.3882307828742583,0.4517078120504668
oof_1_minus_max,0.6158534179332986,0.6158534179332986,0.11585341793329862,0.015014143340409953,1685,0.6117692171257416,0.5482921879495333
min_amt_last3_changes,0.611903578136591,0.611903578136591,0.11190357813659102,0.016831212921205915,1685,1.5051020408163265,1.1191028615622582
max_last_desc_specific,0.38983360165411873,0.38983360165411873,0.11016639834588127,0.012221281575900864,1685,0.6505102040816326,0.8708430007733952
prim_days_since_first,0.39174242782960056,0.39174242782960056,0.10825757217039944,0.017720253284541687,1685,213.2540333581349,250.0085323930853
raw_card_activity_ratio60,0.6017823602758969,0.6017823602758969,0.10178236027589693,0.01746788838306126,1685,1.4720200990661745,1.2526111362298156
prim_last_desc_specific,0.4019662389317676,0.4019662389317676,0.09803376106823242,0.01325178896890907,1685,0.5255102040816326,0.7215777262180975
min_n_payments,0.4024012737345518,0.4024012737345518,0.09759872626544819,0.017596015240976627,1685,6.887755102040816,7.498066511987625
prim_n_payments,0.40264197326262297,0.40264197326262297,0.09735802673737703,0.01928668166977527,1685,8.451530612244898,9.731631863882443
min_refund_last_days,0.5971972315608378,0.6338075880758808,0.09719723156083782,0.016948180727183657,774,47.59651893255044,30.738740179573515
min_days_since_first,0.4029250911501492,0.4029250911501492,0.09707490884985082,0.01712823406787425,1685,181.40018140589572,205.7512761736988
max_amt_n_changes,0.405738513502849,0.405738513502849,0.09426148649715099,0.015684624931861867,1685,4.48469387755102,5.327919566898685
raw_n_tx,0.40674866234196694,0.40674866234196694,0.09325133765803306,0.017155447511933035,1685,71.34183673469387,79.1569992266048
max_amt_last_change,0.5930648941711255,0.5930648941711255,0.09306489417112551,0.01825332642797307,1685,0.026603931425720942,0.02013386908710563
min_refund_rate,0.5923349037991066,0.5923349037991066,0.09233490379910658,0.012179844071727484,1685,0.08107457321116954,0.04591786360927892
