cutoff,min_payments,min_payments_before,churn,none_share,rule_macro_f1,none_gap,rule_gap,verdict
2025-07-05,2,0,0,0.0795,0.3979,-0.2190,-0.1352,fail
2025-07-05,3,0,0,0.0985,0.4208,-0.2000,-0.1124,fail
2025-07-05,4,0,0,0.1395,0.4688,-0.1590,-0.0643,fail
2025-07-05,5,0,0,0.1915,0.5192,-0.1070,-0.0139,fail
2025-07-05,6,0,0,0.2550,0.5691,-0.0435,0.0360,pass
2025-07-05,7,0,0,0.2985,0.6122,0.0000,0.0791,fail
2025-07-05,8,0,0,0.3465,0.6686,0.0480,0.1355,fail
2025-07-05,9,0,0,0.4110,0.7374,0.1125,0.2043,fail
2025-07-05,10,0,0,0.5015,0.7978,0.2030,0.2647,fail
2025-07-05,2,1,0,0.2120,0.5180,-0.0865,-0.0152,fail
2025-07-05,3,1,0,0.2270,0.5324,-0.0715,-0.0007,fail
2025-07-05,4,1,0,0.2565,0.5665,-0.0420,0.0334,pass
2025-07-05,5,1,0,0.2805,0.5928,-0.0180,0.0597,fail
2025-07-05,6,1,0,0.2965,0.6122,-0.0020,0.0791,fail
2025-07-05,7,1,0,0.3075,0.6213,0.0090,0.0882,fail
2025-07-05,8,1,0,0.3495,0.6715,0.0510,0.1384,fail
2025-07-05,9,1,0,0.4125,0.7394,0.1140,0.2063,fail
2025-07-05,10,1,0,0.5030,0.7991,0.2045,0.2660,fail
2025-07-05,3,2,0,0.3015,0.6258,0.0030,0.0927,fail
2025-07-05,4,2,0,0.3150,0.6408,0.0165,0.1076,fail
2025-07-05,5,2,0,0.3315,0.6562,0.0330,0.1231,fail
2025-07-05,6,2,0,0.3425,0.6707,0.0440,0.1376,fail
2025-07-05,7,2,0,0.3500,0.6747,0.0515,0.1416,fail
2025-07-05,8,2,0,0.3610,0.6860,0.0625,0.1529,fail
2025-07-05,9,2,0,0.4155,0.7418,0.1170,0.2087,fail
2025-07-05,10,2,0,0.5060,0.8018,0.2075,0.2687,fail
2025-07-05,4,3,0,0.3945,0.7356,0.0960,0.2025,fail
2025-07-05,5,3,0,0.3960,0.7385,0.0975,0.2054,fail
2025-07-05,6,3,0,0.3990,0.7409,0.1005,0.2078,fail
2025-07-05,7,3,0,0.4055,0.7436,0.1070,0.2105,fail
2025-07-05,8,3,0,0.4105,0.7457,0.1120,0.2126,fail
2025-07-05,9,3,0,0.4240,0.7528,0.1255,0.2197,fail
2025-07-05,10,3,0,0.5080,0.8065,0.2095,0.2734,fail
2025-07-05,2,0,0.1,0.1775,0.3945,-0.1210,-0.1386,fail
2025-07-05,3,0,0.1,0.1955,0.4153,-0.1030,-0.1178,fail
2025-07-05,4,0,0.1,0.2320,0.4589,-0.0665,-0.0742,fail
2025-07-05,5,0,0.1,0.2780,0.5026,-0.0205,-0.0305,pass
2025-07-05,6,0,0.1,0.3365,0.5474,0.0380,0.0143,pass
2025-07-05,7,0,0.1,0.3740,0.5840,0.0755,0.0509,fail
2025-07-05,8,0,0.1,0.4190,0.6398,0.1205,0.1067,fail
2025-07-05,9,0,0.1,0.4730,0.6993,0.1745,0.1662,fail
2025-07-05,10,0,0.1,0.5565,0.7552,0.2580,0.2220,fail
2025-07-05,2,1,0.1,0.3015,0.5029,0.0030,-0.0302,pass
2025-07-05,3,1,0.1,0.3150,0.5158,0.0165,-0.0173,pass
2025-07-05,4,1,0.1,0.3410,0.5470,0.0425,0.0139,pass
2025-07-05,5,1,0.1,0.3600,0.5706,0.0615,0.0375,fail
2025-07-05,6,1,0.1,0.3740,0.5874,0.0755,0.0543,fail
2025-07-05,7,1,0.1,0.3825,0.5930,0.0840,0.0599,fail
2025-07-05,8,1,0.1,0.4220,0.6427,0.1235,0.1096,fail
2025-07-05,9,1,0.1,0.4745,0.7014,0.1760,0.1683,fail
2025-07-05,10,1,0.1,0.5580,0.7564,0.2595,0.2233,fail
2025-07-05,3,2,0.1,0.3790,0.6027,0.0805,0.0696,fail
2025-07-05,4,2,0.1,0.3915,0.6174,0.0930,0.0843,fail
2025-07-05,5,2,0.1,0.4060,0.6317,0.1075,0.0986,fail
2025-07-05,6,2,0.1,0.4165,0.6443,0.1180,0.1112,fail
2025-07-05,7,2,0.1,0.4220,0.6458,0.1235,0.1127,fail
2025-07-05,8,2,0.1,0.4320,0.6565,0.1335,0.1234,fail
2025-07-05,9,2,0.1,0.4775,0.7038,0.1790,0.1707,fail
2025-07-05,10,2,0.1,0.5610,0.7591,0.2625,0.2260,fail
2025-07-05,4,3,0.1,0.4595,0.6998,0.1610,0.1666,fail
2025-07-05,5,3,0.1,0.4610,0.7027,0.1625,0.1696,fail
2025-07-05,6,3,0.1,0.4640,0.7051,0.1655,0.1720,fail
2025-07-05,7,3,0.1,0.4695,0.7068,0.1710,0.1737,fail
2025-07-05,8,3,0.1,0.4735,0.7090,0.1750,0.1759,fail
2025-07-05,9,3,0.1,0.4855,0.7148,0.1870,0.1817,fail
2025-07-05,10,3,0.1,0.5630,0.7640,0.2645,0.2309,fail
2025-07-05,2,0,0.15,0.2260,0.3911,-0.0725,-0.1420,fail
2025-07-05,3,0,0.15,0.2435,0.4104,-0.0550,-0.1227,fail
2025-07-05,4,0,0.15,0.2760,0.4504,-0.0225,-0.0827,fail
2025-07-05,5,0,0.15,0.3195,0.4922,0.0210,-0.0409,pass
2025-07-05,6,0,0.15,0.3740,0.5337,0.0755,0.0006,fail
2025-07-05,7,0,0.15,0.4100,0.5688,0.1115,0.0357,fail
2025-07-05,8,0,0.15,0.4520,0.6224,0.1535,0.0893,fail
2025-07-05,9,0,0.15,0.5050,0.6800,0.2065,0.1469,fail
2025-07-05,10,0,0.15,0.5835,0.7322,0.2850,0.1991,fail
2025-07-05,2,1,0.15,0.3430,0.4933,0.0445,-0.0398,pass
2025-07-05,3,1,0.15,0.3565,0.5056,0.0580,-0.0275,fail
2025-07-05,4,1,0.15,0.3800,0.5340,0.0815,0.0009,fail
