cutoff,min_payments,min_payments_before,churn,none_share,rule_macro_f1,none_gap,rule_gap,verdict
2025-10-03,2,0,0,0.0825,0.5498,-0.2160,0.0167,fail
2025-10-03,3,0,0,0.1165,0.5958,-0.1820,0.0627,fail
2025-10-03,4,0,0,0.1535,0.6453,-0.1450,0.1122,fail
2025-10-03,5,0,0,0.1955,0.6926,-0.1030,0.1595,fail
2025-10-03,6,0,0,0.2560,0.7673,-0.0425,0.2342,fail
2025-10-03,7,0,0,0.2995,0.7844,0.0010,0.2513,fail
2025-10-03,8,0,0,0.3470,0.7993,0.0485,0.2662,fail
2025-10-03,9,0,0,0.4110,0.7305,0.1125,0.1974,fail
2025-10-03,10,0,0,0.5015,0.6572,0.2030,0.1241,fail
2025-10-03,2,1,0,0.1205,0.5998,-0.1780,0.0666,fail
2025-10-03,3,1,0,0.1315,0.6155,-0.1670,0.0824,fail
2025-10-03,4,1,0,0.1565,0.6493,-0.1420,0.1162,fail
2025-10-03,5,1,0,0.1960,0.6930,-0.1025,0.1599,fail
2025-10-03,6,1,0,0.2560,0.7673,-0.0425,0.2342,fail
2025-10-03,7,1,0,0.2995,0.7844,0.0010,0.2513,fail
2025-10-03,8,1,0,0.3470,0.7993,0.0485,0.2662,fail
2025-10-03,9,1,0,0.4110,0.7305,0.1125,0.1974,fail
2025-10-03,10,1,0,0.5015,0.6572,0.2030,0.1241,fail
2025-10-03,3,2,0,0.1630,0.6642,-0.1355,0.1311,fail
2025-10-03,4,2,0,0.1780,0.6813,-0.1205,0.1482,fail
2025-10-03,5,2,0,0.2030,0.7022,-0.0955,0.1691,fail
2025-10-03,6,2,0,0.2580,0.7687,-0.0405,0.2356,fail
2025-10-03,7,2,0,0.3005,0.7851,0.0020,0.2520,fail
2025-10-03,8,2,0,0.3470,0.7993,0.0485,0.2662,fail
2025-10-03,9,2,0,0.4110,0.7305,0.1125,0.1974,fail
2025-10-03,10,2,0,0.5015,0.6572,0.2030,0.1241,fail
2025-10-03,4,3,0,0.2270,0.7558,-0.0715,0.2227,fail
2025-10-03,5,3,0,0.2410,0.7630,-0.0575,0.2299,fail
2025-10-03,6,3,0,0.2590,0.7739,-0.0395,0.2408,fail
2025-10-03,7,3,0,0.3005,0.7858,0.0020,0.2526,fail
2025-10-03,8,3,0,0.3470,0.7993,0.0485,0.2662,fail
2025-10-03,9,3,0,0.4110,0.7305,0.1125,0.1974,fail
2025-10-03,10,3,0,0.5015,0.6572,0.2030,0.1241,fail
2025-10-03,2,0,0.1,0.1810,0.5260,-0.1175,-0.0071,fail
2025-10-03,3,0,0.1,0.2115,0.5665,-0.0870,0.0334,fail
2025-10-03,4,0,0.1,0.2455,0.6114,-0.0530,0.0783,fail
2025-10-03,5,0,0.1,0.2820,0.6523,-0.0165,0.1192,fail
2025-10-03,6,0,0.1,0.3365,0.7161,0.0380,0.1830,fail
2025-10-03,7,0,0.1,0.3770,0.7327,0.0785,0.1996,fail
2025-10-03,8,0,0.1,0.4200,0.7440,0.1215,0.2109,fail
2025-10-03,9,0,0.1,0.4755,0.6803,0.1770,0.1472,fail
2025-10-03,10,0,0.1,0.5575,0.6106,0.2590,0.0775,fail
2025-10-03,2,1,0.1,0.2130,0.5692,-0.0855,0.0361,fail
2025-10-03,3,1,0.1,0.2240,0.5835,-0.0745,0.0504,fail
2025-10-03,4,1,0.1,0.2485,0.6153,-0.0500,0.0822,fail
2025-10-03,5,1,0.1,0.2825,0.6527,-0.0160,0.1196,fail
2025-10-03,6,1,0.1,0.3365,0.7161,0.0380,0.1830,fail
2025-10-03,7,1,0.1,0.3770,0.7327,0.0785,0.1996,fail
2025-10-03,8,1,0.1,0.4200,0.7440,0.1215,0.2109,fail
2025-10-03,9,1,0.1,0.4755,0.6803,0.1770,0.1472,fail
2025-10-03,10,1,0.1,0.5575,0.6106,0.2590,0.0775,fail
2025-10-03,3,2,0.1,0.2540,0.6289,-0.0445,0.0958,fail
2025-10-03,4,2,0.1,0.2680,0.6446,-0.0305,0.1115,fail
2025-10-03,5,2,0.1,0.2885,0.6606,-0.0100,0.1275,fail
2025-10-03,6,2,0.1,0.3385,0.7175,0.0400,0.1844,fail
2025-10-03,7,2,0.1,0.3780,0.7335,0.0795,0.2004,fail
2025-10-03,8,2,0.1,0.4200,0.7440,0.1215,0.2109,fail
2025-10-03,9,2,0.1,0.4755,0.6803,0.1770,0.1472,fail
2025-10-03,10,2,0.1,0.5575,0.6106,0.2590,0.0775,fail
2025-10-03,4,3,0.1,0.3120,0.7079,0.0135,0.1748,fail
2025-10-03,5,3,0.1,0.3230,0.7126,0.0245,0.1795,fail
2025-10-03,6,3,0.1,0.3395,0.7222,0.0410,0.1891,fail
2025-10-03,7,3,0.1,0.3780,0.7341,0.0795,0.2010,fail
2025-10-03,8,3,0.1,0.4200,0.7440,0.1215,0.2109,fail
2025-10-03,9,3,0.1,0.4755,0.6803,0.1770,0.1472,fail
2025-10-03,10,3,0.1,0.5575,0.6106,0.2590,0.0775,fail
2025-10-03,2,0,0.15,0.2275,0.5172,-0.0710,-0.0159,fail
2025-10-03,3,0,0.15,0.2565,0.5547,-0.0420,0.0215,pass
2025-10-03,4,0,0.15,0.2875,0.5975,-0.0110,0.0643,fail
2025-10-03,5,0,0.15,0.3225,0.6347,0.0240,0.1016,fail
2025-10-03,6,0,0.15,0.3725,0.6931,0.0740,0.1600,fail
2025-10-03,7,0,0.15,0.4105,0.7089,0.1120,0.1757,fail
2025-10-03,8,0,0.15,0.4520,0.7191,0.1535,0.1860,fail
2025-10-03,9,0,0.15,0.5050,0.6546,0.2065,0.1215,fail
2025-10-03,10,0,0.15,0.5830,0.5884,0.2845,0.0553,fail
2025-10-03,2,1,0.15,0.2575,0.5577,-0.0410,0.0246,pass
2025-10-03,3,1,0.15,0.2680,0.5711,-0.0305,0.0379,pass
2025-10-03,4,1,0.15,0.2905,0.6014,-0.0080,0.0683,fail
2025-10-03,5,1,0.15,0.3230,0.6351,0.0245,0.1019,fail
2025-10-03,6,1,0.15,0.3725,0.6931,0.0740,0.1600,fail
2025-10-03,7,1,0.15,0.4105,0.7089,0.1120,0.1757,fail
2025-10-03,8,1,0.15,0.4520,0.7191,0.1535,0.1860,fail
2025-10-03,9,1,0.15,0.5050,0.6546,0.2065,0.1215,fail
2025-10-03,10,1,0.15,0.5830,0.5884,0.2845,0.0553,fail
2025-10-03,3,2,0.15,0.2970,0.6139,-0.0015,0.0808,fail
2025-10-03,4,2,0.15,0.3095,0.6284,0.0110,0.0953,fail
2025-10-03,5,2,0.15,0.3285,0.6420,0.0300,0.1089,fail
2025-10-03,6,2,0.15,0.3745,0.6944,0.0760,0.1613,fail
2025-10-03,7,2,0.15,0.4115,0.7096,0.1130,0.1765,fail
2025-10-03,8,2,0.15,0.4520,0.7191,0.1535,0.1860,fail
2025-10-03,9,2,0.15,0.5050,0.6546,0.2065,0.1215,fail
2025-10-03,10,2,0.15,0.5830,0.5884,0.2845,0.0553,fail
2025-10-03,4,3,0.15,0.3500,0.6867,0.0515,0.1536,fail
2025-10-03,5,3,0.15,0.3600,0.6905,0.0615,0.1574,fail
