cutoff,min_payments,min_payments_before,churn,none_share,rule_macro_f1,none_gap,rule_gap,verdict
2025-10-03,2,0,0,0.0825,0.5490,-0.2160,0.0245,fail
2025-10-03,3,0,0,0.1125,0.5898,-0.1860,0.0653,fail
2025-10-03,4,0,0,0.1445,0.6353,-0.1540,0.1107,fail
2025-10-03,5,0,0,0.1805,0.6814,-0.1180,0.1569,fail
2025-10-03,6,0,0,0.2460,0.7612,-0.0525,0.2366,fail
2025-10-03,7,0,0,0.2965,0.7811,-0.0020,0.2565,fail
2025-10-03,8,0,0,0.3455,0.7958,0.0470,0.2713,fail
2025-10-03,9,0,0,0.4110,0.7271,0.1125,0.2026,fail
2025-10-03,10,0,0,0.5010,0.6536,0.2025,0.1291,fail
2025-10-03,2,1,0,0.1205,0.5979,-0.1780,0.0734,fail
2025-10-03,3,1,0,0.1290,0.6106,-0.1695,0.0861,fail
2025-10-03,4,1,0,0.1470,0.6389,-0.1515,0.1144,fail
2025-10-03,5,1,0,0.1815,0.6821,-0.1170,0.1576,fail
2025-10-03,6,1,0,0.2470,0.7619,-0.0515,0.2374,fail
2025-10-03,7,1,0,0.2965,0.7811,-0.0020,0.2565,fail
2025-10-03,8,1,0,0.3455,0.7958,0.0470,0.2713,fail
2025-10-03,9,1,0,0.4110,0.7271,0.1125,0.2026,fail
2025-10-03,10,1,0,0.5010,0.6536,0.2025,0.1291,fail
2025-10-03,3,2,0,0.1585,0.6605,-0.1400,0.1360,fail
2025-10-03,4,2,0,0.1695,0.6743,-0.1290,0.1498,fail
2025-10-03,5,2,0,0.1895,0.6927,-0.1090,0.1682,fail
2025-10-03,6,2,0,0.2490,0.7633,-0.0495,0.2388,fail
2025-10-03,7,2,0,0.2975,0.7818,-0.0010,0.2573,fail
2025-10-03,8,2,0,0.3455,0.7958,0.0470,0.2713,fail
2025-10-03,9,2,0,0.4110,0.7271,0.1125,0.2026,fail
2025-10-03,10,2,0,0.5010,0.6536,0.2025,0.1291,fail
2025-10-03,4,3,0,0.2200,0.7515,-0.0785,0.2270,fail
2025-10-03,5,3,0,0.2295,0.7548,-0.0690,0.2303,fail
2025-10-03,6,3,0,0.2500,0.7684,-0.0485,0.2438,fail
2025-10-03,7,3,0,0.2975,0.7824,-0.0010,0.2579,fail
2025-10-03,8,3,0,0.3455,0.7958,0.0470,0.2713,fail
2025-10-03,9,3,0,0.4110,0.7271,0.1125,0.2026,fail
2025-10-03,10,3,0,0.5010,0.6536,0.2025,0.1291,fail
2025-10-03,2,0,0.1,0.1810,0.5253,-0.1175,0.0008,fail
2025-10-03,3,0,0.1,0.2075,0.5612,-0.0910,0.0367,fail
2025-10-03,4,0,0.1,0.2370,0.6026,-0.0615,0.0780,fail
2025-10-03,5,0,0.1,0.2690,0.6429,-0.0295,0.1183,fail
2025-10-03,6,0,0.1,0.3270,0.7104,0.0285,0.1859,fail
2025-10-03,7,0,0.1,0.3740,0.7294,0.0755,0.2049,fail
2025-10-03,8,0,0.1,0.4190,0.7409,0.1205,0.2164,fail
2025-10-03,9,0,0.1,0.4755,0.6769,0.1770,0.1524,fail
2025-10-03,10,0,0.1,0.5570,0.6070,0.2585,0.0825,fail
2025-10-03,2,1,0.1,0.2130,0.5679,-0.0855,0.0434,fail
2025-10-03,3,1,0.1,0.2215,0.5792,-0.0770,0.0547,fail
2025-10-03,4,1,0.1,0.2395,0.6062,-0.0590,0.0817,fail
2025-10-03,5,1,0.1,0.2700,0.6436,-0.0285,0.1190,fail
2025-10-03,6,1,0.1,0.3280,0.7111,0.0295,0.1866,fail
2025-10-03,7,1,0.1,0.3740,0.7294,0.0755,0.2049,fail
2025-10-03,8,1,0.1,0.4190,0.7409,0.1205,0.2164,fail
2025-10-03,9,1,0.1,0.4755,0.6769,0.1770,0.1524,fail
2025-10-03,10,1,0.1,0.5570,0.6070,0.2585,0.0825,fail
2025-10-03,3,2,0.1,0.2495,0.6254,-0.0490,0.1009,fail
2025-10-03,4,2,0.1,0.2595,0.6378,-0.0390,0.1133,fail
2025-10-03,5,2,0.1,0.2765,0.6525,-0.0220,0.1280,fail
2025-10-03,6,2,0.1,0.3300,0.7125,0.0315,0.1880,fail
