client_id,predicted
C000003,none
C000032,insurance
C000042,none
C000046,none
C000048,insurance
C000049,none
C000058,none
C000061,cloud
C000065,gym
C000068,insurance
C000070,streaming
C000071,music
C000075,none
C000081,cloud
C000086,software
C000087,gym
C000089,cloud
C000092,none
C000096,gym
C000107,none
C000108,streaming
C000112,none
C000123,mobile
C000125,none
C000138,none
C000143,mobile
C000145,software
C000154,none
C000156,none
C000170,none
C000176,software
C000180,software
C000193,none
C000200,cloud
C000216,none
C000224,mobile
C000227,mobile
C000229,none
C000232,software
C000241,none
C000256,gym
C000258,gym
C000260,gym
C000266,none
C000269,software
C000280,software
C000289,insurance
C000294,none
C000298,none
C000299,streaming
C000301,gym
C000303,mobile
C000316,mobile
C000320,software
C000325,music
C000328,none
C000331,gym
C000333,streaming
C000337,insurance
C000341,gym
C000346,software
C000362,music
C000365,none
C000366,software
C000367,streaming
C000370,cloud
C000371,insurance
C000374,music
C000377,none
C000380,streaming
C000383,software
C000384,insurance
C000386,none
C000395,gym
C000396,none
C000397,cloud
C000402,none
C000405,streaming
C000411,cloud
C000416,none
C000423,none
C000432,software
C000450,gym
C000451,none
C000463,streaming
C000474,mobile
C000476,none
C000479,cloud
C000483,none
C000485,none
C000486,none
C000487,none
C000505,music
C000514,none
C000515,gym
C000517,mobile
C000520,none
C000530,music
C000535,insurance
C000541,none
C000545,music
C000547,insurance
C000553,none
C000562,software
C000565,gym
C000566,none
C000568,music
C000569,music
C000571,none
C000572,none
C000573,streaming
C000577,none
C000582,none
C000583,gym
C000593,software
C000594,insurance
C000595,none
C000601,cloud
C000604,none
C000619,none
C000628,gym
C000635,none
C000637,streaming
C000650,none
C000653,none
C000654,none
C000655,none
C000664,none
C000687,music
C000704,none
C000706,gym
C000708,streaming
C000711,mobile
C000720,insurance
C000724,none
C000729,none
C000739,gym
C000741,software
C000745,gym
C000748,music
C000752,none
C000754,streaming
C000757,music
C000765,none
C000770,none
C000773,insurance
C000774,none
C000785,none
C000788,streaming
C000790,none
C000795,music
C000798,streaming
C000802,gym
C000804,cloud
C000806,none
C000810,none
C000812,software
C000818,none
C000828,insurance
C000845,gym
C000853,none
C000855,software
C000860,none
C000866,streaming
C000869,none
C000875,gym
C000879,software
C000881,music
C000896,none
C000897,software
C000898,gym
C000899,mobile
C000902,cloud
C000909,gym
C000913,none
C000941,none
C000944,gym
C000946,none
C000947,insurance
C000952,mobile
C000969,none
C000973,none
C000979,cloud
C000986,mobile
C000987,music
C000995,mobile
C001005,software
C001010,none
C001012,software
C001017,none
C001023,none
C001032,insurance
C001034,software
C001039,insurance
C001041,cloud
C001049,none
C001059,none
C001065,none
C001070,cloud
C001078,none
C001082,music
C001083,gym
C001085,gym
C001091,gym
C001099,none
C001104,streaming
C001107,cloud
C001111,none
C001125,cloud
C001145,music
C001158,none
C001161,gym
C001167,insurance
C001177,streaming
C001180,music
C001186,gym
C001190,none
C001193,none
C001195,cloud
C001201,none
C001206,none
C001217,music
C001218,music
C001219,none
C001246,none
C001251,software
C001257,software
C001262,none
C001263,insurance
C001270,mobile
C001282,cloud
C001286,music
C001287,gym
C001296,mobile
C001297,insurance
C001300,streaming
C001304,none
C001330,none
C001332,none
C001339,none
C001343,none
C001344,insurance
C001357,none
C001358,streaming
C001360,none
C001368,gym
C001370,software
C001373,streaming
C001394,none
C001403,none
C001404,software
C001407,software
C001423,gym
C001432,streaming
C001454,cloud
C001456,streaming
C001466,streaming
C001471,insurance
C001473,music
C001477,mobile
C001482,none
C001489,music
C001496,music
C001505,none
C001508,mobile
C001515,none
C001518,none
C001535,none
C001538,none
C001539,gym
C001541,streaming
C001543,software
C001544,software
C001545,none
C001546,none
C001550,insurance
C001558,none
C001568,streaming
C001579,gym
C001580,insurance
C001586,mobile
C001603,streaming
C001605,insurance
C001606,streaming
C001611,none
C001619,mobile
C001622,none
C001623,insurance
C001636,insurance
C001637,none
C001638,none
C001646,cloud
C001651,streaming
C001652,cloud
C001657,mobile
C001659,music
C001667,none
C001675,none
C001679,none
C001688,cloud
C001690,software
C001691,none
C001694,software
C001702,streaming
C001711,cloud
C001725,none
C001730,none
C001733,gym
C001738,cloud
C001739,none
C001746,gym
C001748,music
C001754,mobile
C001761,none
C001771,none
C001774,gym
C001777,insurance
C001780,none
C001782,music
C001786,gym
C001796,gym
C001803,cloud
C001811,gym
C001812,music
C001814,none
C001816,streaming
C001821,none
C001823,gym
C001829,none
C001830,none
C001835,mobile
C001836,none
C001837,none
C001845,music
C001861,insurance
C001862,none
C001869,gym
C001874,gym
C001887,gym
C001888,none
C001892,gym
C001907,none
C001910,none
C001917,insurance
C001920,insurance
C001938,none
C001954,none
C001971,none
C001982,software
C001989,cloud
C001990,streaming
C001991,none
C001992,mobile
C002009,insurance
C002017,streaming
C002019,cloud
C002023,insurance
C002029,none
C002035,software
C002038,cloud
C002048,gym
C002065,none
C002066,none
C002073,none
C002080,cloud
C002083,insurance
C002090,none
C002123,none
C002125,music
C002130,none
C002133,gym
C002137,mobile
C002140,none
C002141,insurance
C002145,none
C002156,none
C002159,none
C002161,gym
C002169,streaming
C002178,mobile
C002180,mobile
C002185,music
C002190,none
C002202,streaming
C002205,none
C002210,mobile
C002211,none
C002217,cloud
C002221,none
C002244,insurance
C002248,insurance
C002252,none
C002258,none
C002262,none
C002263,software
C002264,software
C002269,gym
C002270,gym
C002287,none
C002289,mobile
C002290,mobile
C002295,music
C002306,gym
C002308,streaming
C002315,streaming
C002317,software
C002319,insurance
C002328,insurance
C002334,mobile
C002336,gym
C002339,none
C002340,gym
C002341,cloud
C002342,insurance
C002345,none
C002348,none
C002359,insurance
C002377,none
C002381,mobile
C002383,none
C002385,none
C002390,none
C002392,none
C002396,mobile
C002403,none
C002408,none
C002409,none
C002410,insurance
C002412,software
C002416,none
C002446,none
C002454,cloud
C002465,none
