client_id,predicted
C000000,gym
C000002,software
C000006,cloud
C000013,none
C000036,none
C000057,music
C000059,cloud
C000090,software
C000126,none
C000131,cloud
C000147,music
C000151,streaming
C000184,none
C000186,streaming
C000199,music
C000204,streaming
C000209,gym
C000215,insurance
C000220,none
C000253,none
C000305,software
C000312,none
C000318,music
C000329,cloud
C000335,streaming
C000340,none
C000357,streaming
C000359,none
C000368,mobile
C000393,cloud
C000398,software
C000409,software
C000412,gym
C000419,music
C000439,none
C000440,mobile
C000466,streaming
C000491,software
C000499,mobile
C000510,software
C000533,software
C000542,insurance
C000554,streaming
C000616,software
C000631,insurance
C000643,cloud
C000673,cloud
C000674,gym
C000688,streaming
C000691,mobile
C000710,none
C000715,none
C000716,gym
C000718,streaming
C000719,cloud
C000759,cloud
C000779,software
C000780,mobile
C000786,insurance
C000791,none
C000797,music
C000803,insurance
C000811,none
C000825,insurance
C000838,music
C000849,music
C000864,cloud
C000908,software
C000929,software
C000937,none
C000943,software
C000960,gym
C000963,cloud
C001019,software
C001025,gym
C001026,none
C001031,insurance
C001036,music
C001045,none
C001048,none
C001054,mobile
C001073,music
C001118,insurance
C001128,software
C001133,streaming
C001137,mobile
C001146,software
C001159,mobile
C001163,none
C001187,software
C001197,none
C001205,streaming
C001215,insurance
C001247,streaming
C001259,cloud
C001274,none
C001281,none
C001285,none
C001309,music
C001311,music
C001319,music
C001327,cloud
C001333,gym
C001338,insurance
C001350,music
C001352,none
C001362,streaming
C001363,software
C001365,none
C001369,mobile
C001371,none
C001379,cloud
C001388,none
C001425,cloud
C001438,none
C001465,streaming
C001468,gym
C001510,gym
C001534,mobile
C001552,streaming
C001553,music
C001566,mobile
C001573,streaming
C001612,streaming
C001628,streaming
C001654,mobile
C001671,gym
C001684,mobile
C001685,mobile
C001696,music
C001722,none
C001728,none
C001741,none
C001743,streaming
C001764,music
C001784,cloud
C001808,cloud
C001819,cloud
C001865,mobile
C001870,none
C001876,none
C001882,none
C001883,mobile
C001889,software
C001895,insurance
C001899,streaming
C001902,cloud
C001924,none
C001926,none
C001936,cloud
C001980,mobile
C001988,insurance
C002030,software
C002034,streaming
C002055,music
C002059,software
C002062,none
C002071,software
C002096,cloud
C002105,insurance
C002109,cloud
C002143,mobile
C002171,none
C002186,gym
C002207,streaming
C002224,software
C002225,cloud
C002231,mobile
C002254,gym
C002259,music
C002267,none
C002273,music
C002298,software
C002309,mobile
C002314,none
C002326,insurance
C002330,none
C002352,cloud
C002357,mobile
C002387,gym
C002393,none
C002407,streaming
C002417,streaming
C002418,software
C002420,insurance
C002434,streaming
C002443,mobile
C002453,mobile
C002459,gym
C002470,streaming
C002477,gym
C002484,insurance
C002487,insurance
C002489,music
C002511,insurance
C002513,gym
C002521,gym
C002538,music
C002545,music
C002568,streaming
C002593,gym
C002604,gym
C002605,none
C002619,insurance
C002631,insurance
C002632,software
C002641,software
C002648,none
C002651,music
C002679,none
C002690,cloud
C002709,cloud
C002711,none
C002713,mobile
C002716,none
C002724,streaming
C002732,mobile
C002741,none
C002744,none
C002763,gym
C002797,none
C002811,software
C002833,gym
C002835,music
C002860,cloud
C002865,software
C002874,mobile
C002886,none
C002893,software
C002901,software
C002930,cloud
C002949,gym
C002985,gym
C002986,cloud
C003019,mobile
C003043,cloud
C003045,music
C003069,insurance
C003080,cloud
C003082,none
C003101,mobile
C003105,mobile
C003115,streaming
C003151,none
C003177,streaming
C003199,none
C003212,cloud
C003245,cloud
C003265,none
C003277,software
C003292,music
C003298,mobile
C003300,none
C003304,gym
C003324,streaming
C003331,mobile
C003335,none
C003351,gym
C003353,software
C003358,cloud
C003367,streaming
C003377,mobile
C003384,mobile
C003411,none
C003424,music
C003426,gym
C003427,gym
C003434,music
C003438,cloud
C003459,cloud
C003463,software
C003499,software
C003571,streaming
C003584,none
C003587,cloud
C003588,streaming
C003589,none
C003605,mobile
C003622,none
C003637,software
C003681,streaming
C003682,cloud
C003692,none
C003714,music
C003726,gym
C003729,none
C003744,none
C003749,software
C003761,music
C003772,none
C003841,streaming
C003842,none
C003863,none
C003868,software
C003896,mobile
C003937,streaming
C003940,cloud
C003948,none
C003957,none
C003996,none
