client_id,predicted
C000003,none
C000032,gym
C000042,cloud
C000046,mobile
C000048,streaming
C000049,mobile
C000058,none
C000061,cloud
C000065,streaming
C000068,cloud
C000070,streaming
C000071,cloud
C000075,none
C000081,cloud
C000086,software
C000087,gym
C000089,gym
C000092,none
C000096,streaming
C000107,none
C000108,streaming
C000112,streaming
C000123,mobile
C000125,none
C000138,insurance
C000143,none
C000145,software
C000154,streaming
C000156,none
C000170,none
C000176,software
C000180,software
C000193,none
C000200,cloud
C000216,streaming
C000224,streaming
C000227,mobile
C000229,music
C000232,cloud
C000241,none
C000256,gym
C000258,gym
C000260,gym
C000266,none
C000269,software
C000280,streaming
C000289,software
C000294,none
C000298,software
C000299,streaming
C000301,none
C000303,mobile
C000316,mobile
C000320,mobile
C000325,music
C000328,mobile
C000331,gym
C000333,cloud
C000337,streaming
C000341,gym
C000346,software
C000362,insurance
C000365,none
C000366,mobile
C000367,streaming
C000370,software
C000371,insurance
C000374,music
C000377,cloud
C000380,mobile
C000383,gym
C000384,insurance
C000386,mobile
C000395,gym
C000396,insurance
C000397,cloud
C000402,none
C000405,streaming
C000411,cloud
C000416,none
C000423,mobile
C000432,music
C000450,software
C000451,none
C000463,streaming
C000474,insurance
C000476,software
C000479,cloud
C000483,insurance
C000485,none
C000486,none
C000487,cloud
C000505,mobile
C000514,music
C000515,gym
C000517,mobile
C000520,mobile
C000530,insurance
C000535,insurance
C000541,cloud
C000545,music
C000547,cloud
C000553,insurance
C000562,software
C000565,gym
C000566,none
C000568,insurance
C000569,mobile
C000571,none
C000572,mobile
C000573,streaming
C000577,none
C000582,music
C000583,gym
C000593,streaming
C000594,cloud
C000595,mobile
C000601,cloud
C000604,none
C000619,none
C000628,music
C000635,insurance
C000637,insurance
C000650,insurance
C000653,gym
C000654,music
C000655,none
C000664,none
C000687,music
C000704,none
C000706,software
C000708,mobile
C000711,mobile
C000720,cloud
C000724,none
C000729,none
C000739,none
C000741,software
C000745,gym
C000748,music
C000752,none
C000754,streaming
C000757,music
C000765,cloud
C000770,none
C000773,insurance
C000774,insurance
C000785,none
C000788,streaming
C000790,none
C000795,music
C000798,streaming
C000802,gym
C000804,cloud
C000806,music
C000810,streaming
C000812,streaming
C000818,music
C000828,insurance
C000845,gym
C000853,insurance
C000855,software
C000860,none
C000866,streaming
C000869,none
C000875,gym
C000879,software
C000881,music
C000896,none
C000897,music
C000898,software
C000899,mobile
C000902,cloud
C000909,streaming
C000913,none
C000941,gym
C000944,software
C000946,cloud
C000947,insurance
C000952,mobile
C000969,insurance
C000973,insurance
C000979,none
C000986,cloud
C000987,music
C000995,mobile
C001005,insurance
C001010,streaming
C001012,software
C001017,none
C001023,insurance
C001032,streaming
C001034,music
C001039,cloud
C001041,cloud
C001049,none
C001059,none
C001065,insurance
C001070,cloud
C001078,none
C001082,music
C001083,gym
C001085,software
C001091,software
C001099,none
C001104,streaming
C001107,cloud
C001111,software
C001125,cloud
C001145,music
C001158,streaming
C001161,gym
C001167,mobile
C001177,streaming
C001180,mobile
C001186,gym
C001190,none
C001193,software
C001195,cloud
C001201,none
C001206,mobile
C001217,cloud
C001218,streaming
C001219,none
C001246,mobile
C001251,streaming
C001257,software
C001262,mobile
C001263,insurance
C001270,mobile
C001282,cloud
C001286,music
C001287,music
C001296,mobile
C001297,insurance
C001300,streaming
C001304,none
C001330,insurance
C001332,cloud
C001339,streaming
C001343,insurance
C001344,insurance
C001357,none
C001358,streaming
C001360,none
C001368,cloud
C001370,software
C001373,mobile
C001394,software
C001403,none
C001404,cloud
C001407,software
C001423,gym
C001432,gym
C001454,insurance
C001456,insurance
C001466,streaming
C001471,insurance
C001473,mobile
C001477,mobile
C001482,insurance
C001489,none
C001496,music
C001505,mobile
C001508,mobile
C001515,none
C001518,gym
C001535,none
